Teacher,Student,KD,alpha,T,Stem,Seeds,Val acc (%),Test@best (%),Test@final (%)
-,resnet18,none,-,-,cifar,"3 [0, 1, 2]",95.34 ± 0.07,94.86 ± 0.14,94.79 ± 0.17
-,resnet18,none,-,-,imagenet,"3 [0, 1, 2]",88.41 ± 0.24,87.71 ± 0.22,87.74 ± 0.24
-,resnet34,none,-,-,cifar,"3 [0, 1, 2]",95.62 ± 0.36,95.02 ± 0.14,95.01 ± 0.10
-,resnet34,none,-,-,imagenet,"3 [0, 1, 2]",88.95 ± 0.15,88.28 ± 0.06,88.26 ± 0.07
-,resnet50,none,-,-,cifar,1 [0],96.32,95.36,95.20
-,resnet50,none,-,-,imagenet,1 [0],90.46,89.86,90.16
